micros,counts,seconds,volts,amps
432000,1149,0.432,0.0718125,7.18125
433201,1099,0.433201,0.0686875,6.8687499999999995
434400,857,0.4344,0.0535625,5.35625
435600,473,0.4356,0.029562500000000002,2.9562500000000003
436800,60,0.4368,0.00375,0.375
438000,-385,0.438,-0.0240625,-2.40625
439201,-750,0.439201,-0.046875,-4.6875
440400,-1026,0.4404,-0.064125,-6.4125000000000005
441600,-1145,0.4416,-0.0715625,-7.15625
442800,-1135,0.4428,-0.0709375,-7.09375
444000,-985,0.444,-0.0615625,-6.15625
445201,-642,0.445201,-0.040125,-4.0125
446400,-236,0.4464,-0.014750000000000001,-1.475
447600,196,0.4476,0.01225,1.225
448800,612,0.4488,0.03825,3.8249999999999997
450000,916,0.45,0.05725,5.7250000000000005
451201,1121,0.451201,0.0700625,7.00625
452400,1148,0.4524,0.07175000000000001,7.175000000000001
453600,1075,0.4536,0.0671875,6.71875
454800,800,0.4548,0.05,5.0
456000,405,0.456,0.0253125,2.53125
457201,-6,0.457201,-0.000375,-0.0375
458400,-449,0.4584,-0.0280625,-2.80625
459600,-796,0.4596,-0.04975,-4.9750000000000005
460800,-1060,0.4608,-0.06625,-6.625
462000,-1147,0.462,-0.0716875,-7.16875
463201,-1128,0.463201,-0.07050000000000001,-7.050000000000001
464400,-939,0.4644,-0.058687500000000004,-5.86875
465600,-580,0.4656,-0.03625,-3.6249999999999996
466800,-168,0.4668,-0.0105,-1.05
468000,270,0.468,0.016875,1.6875
469201,666,0.469201,0.041625,4.1625000000000005
470400,961,0.4704,0.0600625,6.00625
471600,1134,0.4716,0.07087500000000001,7.0875
472800,1144,0.4728,0.07150000000000001,7.15
474000,1045,0.474,0.0653125,6.53125
475201,743,0.475201,0.0464375,4.64375
476400,340,0.4764,0.02125,2.125
477600,-76,0.4776,-0.00475,-0.475
478800,-515,0.4788,-0.0321875,-3.21875
480000,-843,0.48,-0.0526875,-5.26875
481201,-1087,0.481201,-0.0679375,-6.79375
482400,-1147,0.4824,-0.0716875,-7.16875
483600,-1112,0.4836,-0.0695,-6.950000000000001
484800,-892,0.4848,-0.05575,-5.575
486000,-515,0.486,-0.0321875,-3.21875
487201,-103,0.487201,-0.0064375000000000005,-0.64375
488400,341,0.4884,0.0213125,2.13125
489600,719,0.4896,0.0449375,4.4937499999999995
490800,1000,0.4908,0.0625,6.25
492000,1141,0.492,0.0713125,7.13125
493201,1141,0.493201,0.0713125,7.13125
494400,1010,0.4944,0.063125,6.3125
495601,681,0.495601,0.0425625,4.2562500000000005
496800,276,0.4968,0.01725,1.725
498000,-149,0.498,-0.0093125,-0.9312499999999999
499201,-576,0.499201,-0.036000000000000004,-3.6000000000000005
500400,-889,0.5004,-0.0555625,-5.55625
501600,-1109,0.5016,-0.0693125,-6.93125
502800,-1149,0.5028,-0.0718125,-7.18125
504000,-1091,0.504,-0.0681875,-6.81875
505201,-838,0.505201,-0.052375,-5.2375
506400,-450,0.5064,-0.028125,-2.8125
507600,-36,0.5076,-0.0022500000000000003,-0.22500000000000003
508800,410,0.5088,0.025625000000000002,2.5625
510000,766,0.51,0.047875,4.7875
511201,1037,0.511201,0.0648125,6.481249999999999
512400,1146,0.5124,0.07162500000000001,7.1625000000000005
513600,1133,0.5136,0.0708125,7.08125
514800,969,0.5148,0.0605625,6.0562499999999995
